entry,date,distance,attempt,type,stroke,SC,SPM,5m,10m,15m,20m,25m,30m,35m,40m,45m,50m
1,03/06/2026,25,1,dive,FS,,,,4.0,6.7,9.3,11.8,,,,,
2,03/06/2026,25,2,dive,FS,,,,4.1,6.8,9.4,11.9,,,,,
3,03/06/2026,25,3,dive,FS,,,,4.0,6.6,9.3,11.8,,,,,
4,03/06/2026,25,4,dive,FS,,,,4.05,6.69,9.41,12.09,,,,,
5,31/05/2026,25,1,dive,FS,,,,4.4,7.1,9.9,12.5,,,,,
6,31/05/2026,25,2,dive,FS,,,,4.9,7.6,9.9,12.68,,,,,
7,24/05/2026,25,1,dive,FS,,,,,,,11.9,,,,,
