date,distance,attempt,type,stroke,5m,10m,15m,20m,25m,30m,35m,40m,45m,50m
03/06/2026,25,1,dive,FS,,4.0,6.7,9.3,11.8,,,,,
03/06/2026,25,2,dive,FS,,4.1,6.8,9.4,11.9,,,,,
03/06/2026,25,3,dive,FS,,4.0,6.6,9.3,11.8,,,,,
03/06/2026,25,4,dive,FS,,4.05,6.69,9.41,12.09,,,,,
